Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C2, C5, C6, C7, C9",0603,9,1uF,
"C13, C8",0603,2,0.1uF,
"C14, C15, C16, C17, C18, C19, C20, C21, C22, C23",0805,10,22uf,
"C3, C4",0603,2,4.7uF,
"D1, D2, D3",D_SOD-123,3,MBR0530,
D4,D_SOD-123,1,D_Schottky,
D5,0603,1,LED,
J1,FFC-SMD_24P-P0.50_FH34SRJ-24S-0.5SH,1,Conn_01x24,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
L1,1210,1,47uH,
Q1,SOT-23,1,AO3400A,
R1,0603,1,1M,
R2,0603,1,2.2R,
R4,0603,1,1K,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32G030K6Tx,
U2,DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm,1,ST25DV04K-IER8C3,
