Designator,Mid X,Mid Y,Rotation,Layer
C1,122.5,-94.5,90.0,top
C10,158.0,-88.5,90.0,top
C11,159.5,-88.5,270.0,top
C12,162.5,-88.5,270.0,top
C13,150.75,-93.25,0.0,top
C14,122.0,-90.75,180.0,top
C15,122.0,-88.0,180.0,top
C16,122.0,-85.25,180.0,top
C17,126.0,-85.85,90.0,top
C18,129.0,-85.85,90.0,top
C19,132.0,-85.85,90.0,top
C2,157.0,-101.0,180.0,top
C20,135.0,-85.85,90.0,top
C21,134.745,-89.625,270.0,top
C22,131.735,-89.625,270.0,top
C23,128.725,-89.625,270.0,top
C3,128.5,-97.0,180.0,top
C4,117.5,-94.0,0.0,top
C5,112.5,-89.0,0.0,top
C6,153.5,-92.5,90.0,top
C7,155.0,-92.5,90.0,top
C8,135.75,-93.75,270.0,top
C9,156.5,-88.5,90.0,top
D1,133.0,-97.0,0.0,top
D2,133.0,-100.5,180.0,top
D3,116.5,-88.0,0.0,top
D4,125.25,-94.0,90.0,top
D5,140.75,-101.0,0.0,top
J1,169.50005,-97.975,90.0,top
J2,157.0,-84.5,90.0,top
L1,113.0,-94.0,0.0,top
Q1,113.5,-98.1,0.0,top
R1,117.5,-100.0,0.0,top
R2,117.5,-97.0,0.0,top
R4,137.5,-101.0,0.0,top
U1,143.0,-93.0,270.0,top
U2,143.425,-85.375,270.0,top
