Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C2, C5, C6, C7, C9",0603,9,1uF 50V X5R,C15849
"C13, C8",0603,2,0.1uF,C14663
"C14, C15, C16, C17",CP_EIA-3528-21_Kemet-B,4,220uF/6.3V,C30242
"C18, C20",0603,2,100nf,C14663
C19,0603,1,1nF,C1588
"C23, C25",0805,2,1uf,C28323
"C24, C26",0805,2,0.1uf,C28233
C27,0402,1,1nF,C1523
"C28, C41, C43, C44, C45",0402,5,100nF,C1525
"C29, C30, C31, C32, C42",0805,5,22uF 6.3V X5R,C5674
C3,0805,1,4.7uF 25V X5R,C722528
C39,CP_EIA-3528-21_Kemet-B,1,220uF/6.3V VRAW,C30242
C4,0603,1,4.7uF 16V X5R,C19666
C40,0805,1,10uF 25V X5R,C5137488
"C46, C48, C49",CP_EIA-3528-21_Kemet-B,3,220uF/6.3V VRES,C30242
C47,0603,1,100nF U2 DECOUPLING,C14663
"D1, D2, D3",D_SOD-123,3,MBR0530T1G,C82046
"D5, D6",D_SOD-123,2,1N4148W,C47117477
J1,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,Conn_01x24,C506794
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,C5156614
L1,L_APV_ANR4020,1,47uH,C6364799
L2,L_Sunlord_SWPA252012S,1,2.2uH,C23894
Q1,SOT-23,1,AO3400A,C20917
R1,0603,1,1M,C22935
R10,0402,1,5.11k 1% (2.5mA),C274895
R11,0402,1,16.2k 1%,C27176
R12,0402,1,0R,C17168
R13,0603,1,10k GPO PULLUP,C25804
R14,0603,1,1k EPD DISCHARGE,C21190
R2,0603,1,2.2R,C22939
"R4, R6",0603,2,10k,C25804
R7,0402,1,4.7M,C3013173
R8,0402,1,1k,C11702
R9,0402,1,36.5k 1%,C25887
U1,LQFP-32_7x7mm_P0.8mm,1,STM32G031K6Tx,C432202
U2,DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm,1,ST25DV64KC-IE8C3,C5267462
"U3, U4",SOT-23-6,2,TPS22917DBV,C2681320
U5,SOT-23,1,TPS3839K33DBZR,C96333
U6,SOT-363_SC-70-6,1,LM66100,C2869734
U7,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,1,TPS63900,C1518762
