Designator,Mid X,Mid Y,Rotation,Layer
C1,141.25,-92.5,270.0,top
C10,155.75,-101.5,90.0,top
C11,153.75,-101.5,90.0,top
C12,154.5,-99.0,0.0,top
C13,158.5,-84.75,0.0,top
C14,112.5,-87.78,270.0,top
C15,116.25,-87.78,270.0,top
C16,120.0,-87.78,270.0,top
C17,123.75,-87.78,270.0,top
C18,158.275,-99.0,0.0,top
C19,139.0,-97.0,180.0,top
C2,161.75,-95.25,180.0,top
C20,142.75,-92.5,270.0,top
C23,133.75,-81.0,270.0,top
C24,135.75,-81.0,270.0,top
C25,124.75,-82.0,90.0,top
C26,122.75,-82.0,90.0,top
C27,138.5,-93.5,0.0,top
C28,126.25,-92.5,270.0,top
C29,124.75,-93.25,270.0,top
C3,137.5,-101.5,270.0,top
C30,118.75,-97.5,270.0,top
C31,120.75,-97.5,270.0,top
C32,116.75,-97.5,270.0,top
C39,140.53,-89.0,180.0,top
C4,139.25,-101.5,270.0,top
C40,135.5,-89.0,270.0,top
C41,137.25,-85.48,270.0,top
C42,132.0,-89.0,270.0,top
C43,133.75,-88.25,270.0,top
C44,128.75,-88.73,90.0,top
C45,139.5,-92.5,0.0,top
C46,112.5,-93.0,90.0,top
C47,147.25,-78.75,270.0,top
C48,116.25,-93.0,90.0,top
C49,120.0,-93.0,90.0,top
C5,151.425,-102.25,180.0,top
C6,162.5,-100.75,180.0,top
C7,159.75,-102.25,180.0,top
C8,146.0,-90.75,0.0,top
C9,158.275,-100.5,180.0,top
D1,134.0,-100.75,0.0,top
D2,134.0,-98.25,180.0,top
D3,147.425,-101.75,180.0,top
D5,129.25,-95.755,180.0,top
D6,134.25,-95.75,0.0,top
J1,167.0,-97.975,90.0,top
L1,142.5,-102.0,180.0,top
L2,135.25,-84.925,270.0,top
Q1,147.425,-98.75,0.0,top
R1,151.425,-100.75,0.0,top
R10,128.25,-85.425,180.0,top
R11,128.25,-86.425,180.0,top
R12,131.5,-82.925,180.0,top
R13,146.25,-81.5,0.0,top
R14,139.0,-98.5,180.0,top
R2,151.425,-99.25,0.0,top
R4,143.75,-85.5,270.0,top
R6,145.25,-86.75,270.0,top
R7,131.0,-98.0,270.0,top
R8,137.5,-92.5,180.0,top
R9,128.25,-84.425,180.0,top
U1,153.0,-89.5,270.0,top
U2,146.5,-74.25,180.0,top
U3,143.1125,-97.75,0.0,top
U4,134.25,-92.5,180.0,top
U5,128.75,-92.5,270.0,top
U6,138.25,-82.5,0.0,top
U7,131.5375,-84.925,0.0,top
